sampno,perid,y,ann_mile,tnc_veh,delivery,county,region,hh_veh,hh_size,hh_emp,charge_work,elec_acc,housing,hh_inc,gender,employ,stu,hh_drv,drive_freq,race
190219,190219.p02,0,6000.0,2,2,1,5,3,2,2,,4,2,6.0,2,1.0,3.0,2,1,6.0
190219,190219.p02,0,6000.0,2,2,1,5,3,2,2,,4,2,6.0,2,1.0,3.0,2,1,6.0
190221,190221.p01,0,5000.0,2,2,33,2,3,3,3,,,1,5.0,1,1.0,3.0,3,2,6.0
190221,190221.p01,1,8000.0,2,2,33,2,3,3,3,,,1,5.0,1,1.0,3.0,3,2,6.0
190221,190221.p02,1,10000.0,2,2,33,2,3,3,3,,,1,5.0,2,2.0,3.0,3,1,3.0
190222,190222.p01,0,5000.0,2,2,19,2,1,1,1,2,10,3,2.0,2,1.0,3.0,1,1,6.0
190224,190224.p02,0,10000.0,2,2,1,5,2,4,2,2,10,1,2.0,2,1.0,3.0,1,1,6.0
190224,190224.p02,0,10000.0,2,2,1,5,2,4,2,2,10,1,2.0,2,1.0,3.0,1,1,6.0
190225,190225.p01,0,6000.0,2,2,37,4,2,2,2,,1,2,,2,2.0,3.0,2,1,6.0
190225,190225.p02,0,12000.0,2,2,37,4,2,2,2,,1,2,,1,1.0,3.0,2,1,6.0
190230,190230.p01,0,1000.0,2,2,19,2,8,2,1,2,1,1,6.0,1,1.0,3.0,1,1,3.0
190230,190230.p01,0,1000.0,2,2,19,2,8,2,1,2,1,1,6.0,1,1.0,3.0,1,1,3.0
190230,190230.p01,0,1000.0,2,2,19,2,8,2,1,2,1,1,6.0,1,1.0,3.0,1,1,3.0
190230,190230.p01,0,10000.0,2,2,19,2,8,2,1,2,1,1,6.0,1,1.0,3.0,1,1,3.0
190230,190230.p01,0,1000.0,2,2,19,2,8,2,1,2,1,1,6.0,1,1.0,3.0,1,1,3.0
190230,190230.p01,0,12000.0,2,2,19,2,8,2,1,2,1,1,6.0,1,1.0,3.0,1,1,3.0
190230,190230.p01,1,5000.0,2,2,19,2,8,2,1,2,1,1,6.0,1,1.0,3.0,1,1,3.0
190230,190230.p01,0,5000.0,2,2,19,2,8,2,1,2,1,1,6.0,1,1.0,3.0,1,1,3.0
190232,190232.p03,0,10000.0,2,2,57,6,6,3,3,2,10,2,5.0,2,1.0,3.0,3,1,3.0
190232,190232.p03,0,10000.0,2,2,57,6,6,3,3,2,10,2,5.0,2,1.0,3.0,3,1,3.0
190232,190232.p02,0,7000.0,2,2,57,6,6,3,3,2,10,2,5.0,1,1.0,3.0,3,1,3.0
