sampno,vehno,vehicle_num,num_hh_vehicles,year,make,make_other,make_clean,model,model_other,model_clean,fuel,fuel_clean,veh_type,veh_type_clean,vehicle_status,flag_hev,flag_phev,flag_fcev,flag_bev,obtain,company_car,current_acquired_year,current_acquired_month,annual_mileage,electric_percent,tnc_veh,tnc_miles,delivery,delivery_miles,mpg,replace_intent,current_primary_driver,primary_driver_id,company_acquired_year,fuel_pay,personal_miles,business_miles,company_primary_driver,company_primary_driver_id,other_drivers,behavior_1,behavior_2,behavior_3,behavior_4,behavior_5
190160,1,1,3,2011,TOYOTA, ,TOYOTA,,,,2,2,3,3, ,1,0,0,0,3, ,2016, ,30000, ,2, ,2, ,10,3,3,190160.p03, , , , , , , , , , , , 
190162,1,1,1,2018,TOYOTA, ,TOYOTA,,,,6,6,1,1, ,0,0,1,0,2, ,2018,8,6000, ,2, ,2, ,50,3,1,190162.p01, , , , , , , , , , , , 
190164,3,3,3,2005,FORD, ,FORD,,,,1,1,2,2, ,0,0,0,0,3, ,2006, ,5000, ,2, ,2, ,30,2,1,190164.p01, , , , , , , , , , , , 
190167,2,2,4,2013,HYUNDAI, ,HYUNDAI,,,,1,1,3,3, ,0,0,0,0,1, ,2013, ,9000, ,2, ,2, ,30,3,2,190167.p02, , , , , , , , , , , , 
190172,2,2,2,1996,MAZDA, ,MAZDA,,,,1,1,12,12, ,0,0,0,0,3, ,2018,6,500, ,2, ,2, ,27,7,1,190172.p01, , , , , , , , , , , , 
190174,1,1,3,2018,TOYOTA, ,TOYOTA,,,,6,6,1,1, ,0,0,1,0,2, ,2017, ,12000, ,2, ,2, ,60,2,1,190174.p01, , , , , , , , , , , , 
190175,2,2,3,2016,TOYOTA, ,TOYOTA,,,,1,1,12,12, ,0,0,0,0,1, ,2016, ,10000, ,2, ,2, ,28,6,2,190175.p02, , , , , , , , , , , , 
190178,1,1,2,2018,HONDA, ,HONDA,,,,1,1,3,3, ,0,0,0,0,2, ,2018,12,10000, ,2, ,2, ,32,3,2,190178.p02, , , , , , , , , , , , 
190179,1,1,2,2017,BUICK, ,BUICK,,,,1,1,8,8, ,0,0,0,0,1, ,2017, ,2000, ,2, ,2, ,17,5,1,190179.p01, , , , , , , , , , , , 
190184,1,1,2,2013,SUBARU, ,SUBARU,,,,1,1,3,3, ,0,0,0,0,3, ,2015, ,15000, ,2, ,2, ,25,2,1,190184.p01, , , , , , , , , , , , 
190189,2,2,3,2017,BMW, ,BMW,,,,2,2,9,8,2,1,0,0,0,1, ,2017, ,10000, ,2, ,2, ,24,3,1,190189.p01, , , , , , , , , , , , 
190186,1,1,1,2010,TOYOTA, ,TOYOTA,,,,2,2,3,3, ,1,0,0,0,6, ,2013, ,3000, ,2, ,2, ,50,6,1,190186.p01, , , , , , , , , , , , 
190188,3,3,3,2010,LINCOLN, ,LINCOLN,,,,1,1,3,3, ,0,0,0,0,3, ,2012, ,6500, ,2, ,2, ,22,4,1,190188.p01, , , , , , , , , , , , 
190190,2,2,4,2012,HONDA, ,HONDA,,,,1,1,2,2, ,0,0,0,0,3, ,2014, ,10000, ,2, ,2, ,23,5,1,190190.p01, , , , , , , , , , , , 
190193,1,1,2,2019,LEXUS, ,LEXUS,,,,2,2,3,3, ,1,0,0,0,1, ,2018,11,2500, ,2, ,2, ,40,5,2,190193.p02, , , , , , , , , , , , 
190194,1,1,2,2002,VOLKSWAGEN, ,VOLKSWAGEN,,,,1,1,10,10, ,0,0,0,0,3, ,2007, ,5000, ,2, ,2, ,16,4,3,190194.p03, , , , , , , , , , , , 
190198,3,3,4,2018,FORD, ,FORD,,,,1,1,5,5, ,0,0,0,0,1, ,2018,4,3500, ,2, ,2, ,22,4,3,190198.p03, , , , , , , , , , , , 
190200,1,1,1,2017,SUBARU, ,SUBARU,,,,1,1,3,3, ,0,0,0,0,1, ,2017, ,3000, ,2, ,2, ,25,5,1,190200.p01, , , , , , , , , , , , 
190212,2,2,3,2002,TOYOTA, ,TOYOTA,,,,1,1,3,3, ,0,0,0,0,1, ,2002, ,1000, ,2, ,2, ,25,3,1,190212.p01, , , , , , , , , , , , 
