sampno,perid,perno,relationship,gender,employment,student,education,license,vehno,vehicle_string,drive_freq,transit_freq,tnc_freq,job_type,work_mode,work_distance,work_days,school_mode,school_distance,ethnicity,race_1,race_2,race_3,race_4,race_5,race_6,race_7,race_6_x
192019,192019.p01,1,8,2,1,4,6,1,192019.v01,,1,0,0,1,1,18,5, , ,2,0,0,0,0,1,0,0, 
192022,192022.p01,1,8,1,4,4,8,1,192022.v01,,1,0,0, , , , , , ,2,0,0,0,0,1,0,0, 
192023,192023.p02,2,1,2,2,4,8,1,192023.v01,,1,0,0,1,4,0.5,3, , ,2,0,0,0,0,0,0,1, 
192024,192024.p01,1,8,1,1,4,8,1,192024.v01,,1,1,0,1,18,3,5, , ,1,1,0,0,0,0,0,0, 
192026,192026.p02,2,3,2,4,4,4,1,192026.v02,,2,0,0, , , , , , ,2,0,0,0,0,1,0,0, 
192028,192028.p02,2,1,1,1,4,4,1,192028.v02,,1,0,0,1,1,5,5, , ,2,0,0,0,0,1,0,0, 
192029,192029.p01,1,8,1,1,4,8,1,192029.v01,,1,0,0,1,1,15,5, , ,3,0,0,0,0,0,0,1, 
192031,192031.p03,3,2,2,1,4,6,1,192031.v02,,1,10,0,1,8,21,5, , ,2,0,0,0,0,1,0,0, 
192036,192036.p02,2,1,2,5,4,4,1,192036.v02,,1,0,0,1,1,23,6, , ,2,0,1,0,0,0,0,0, 
192037,192037.p01,1,8,1,4,4,7,1,192037.v02,,2,2,0, , , , , , ,2,0,1,0,0,0,0,0, 
192042,192042.p02,2,1,1,4,4,8,1, ,,4,0,0, , , , , , ,2,0,0,0,0,1,0,0, 
192044,192044.p02,2,1,1,4,4,6,1,192044.v01,,1,0,0, , , , , , ,2,0,0,0,0,1,0,0, 
192045,192045.p01,1,8,1,4,4,8,1,192045.v01,,2,0,1, , , , , , ,2,0,0,0,0,1,0,0, 
192048,192048.p01,1,8,2,4,4,2,1,192048.v01,,2,0,0, , , , , , ,2,0,0,0,0,1,0,0, 
192048,192048.p02,2,1,1,4,4,5,1,192048.v01,,3,0,0, , , , , , ,2,0,0,0,0,1,0,0, 
192059,192059.p01,1,8,1,4,4,6,1,192059.v02,,1,0,0, , , , , , ,2,0,0,0,0,1,0,0, 
192054,192054.p02,2,1,1,1,1,7,1,192054.v01,,1,1,5,1,4,11,2,2,22,2,0,0,0,0,1,0,0, 
192069,192069.p02,2,1,1,4,4,4,1,192069.v02,,2,0,0, , , , , , ,2,0,0,0,0,1,0,0, 
192067,192067.p01,1,8,1,2,4,8,1,192067.v01,,1,0,0,1,1,17,1, , ,2,0,0,0,0,1,0,0, 
192070,192070.p02,2,1,1,4,4,6,1,192070.v03,,1,0,0, , , , , , ,2,0,0,0,0,1,0,0, 
192073,192073.p01,1,8,2,1,4,2,1,192073.v01,,1,0,0,1,1,2,5, , ,2,0,0,0,0,1,0,0, 
192076,192076.p02,2,1,2,4,4,3,1,192076.v02,,1,0,0, , , , , , ,2,0,0,0,0,1,0,0, 
192075,192075.p01,1,8,2,4,4,8,1,192075.v01,,2,0,0, , , , , , ,2,0,0,0,0,1,0,0, 
192075,192075.p02,2,1,1,4,4,6,1,192075.v01,,1,0,0, , , , , , ,2,0,0,0,0,1,0,0, 
192087,192087.p02,2,1,2,2,4,6,1,192087.v02,,1,0,0,1,1,25,2, , ,2,0,0,0,0,1,0,0, 
192082,192082.p03,3,2,2,4,4,1,1,192082.v02,,2,0,0, , , , , , ,2,0,0,0,0,1,0,0, 
192088,192088.p01,1,8,2,5,4,8,1,192088.v01,,2,0,0,3, , , , , ,2,0,0,0,0,1,0,0, 
192088,192088.p02,2,1,1,1,4,8,1,192088.v01,,1,0,0,2,1,35,4, , ,2,0,0,0,0,1,0,0, 
192096,192096.p01,1,8,2,2,4,6,1,192096.v01,,1,0,0,1,1,3,3, , ,1,0,0,0,0,1,0,0, 
192096,192096.p02,2,1,2,2,4,6,1,192096.v01,,1,0,0,1,1,3,3, , ,1,0,0,0,0,1,0,0, 
192178,192178.p01,1,8,1,1,4,8,1,192178.v02,,1,6,0,1,11,55,3, , ,1,0,0,0,0,1,0,0, 
192178,192178.p02,2,1,2,1,4,7,1,192178.v02,,1,0,0,1,1,10,5, , ,2,0,1,0,0,1,0,0, 
192091,192091.p02,2,1,2,4,4,2,1,192091.v02,,1,0,0, , , , , , ,2,0,0,0,0,1,0,0, 
192093,192093.p01,1,8,1,1,4,6,1,192093.v01,,2,1,1,1,6,15,5, , ,2,0,0,0,0,1,0,0, 
192100,192100.p01,1,8,2,1,4,6,1,192100.v01,,1,0,0,1,1,2,5, , ,2,0,1,0,0,0,0,0, 
192098,192098.p01,1,8,1,1,4,4,1,192098.v01,,1,0,1,1,3,8,5, , ,2,0,0,0,0,1,0,0, 
192102,192102.p01,1,8,2,2,4,5,1,192102.v01,,1,0,0,2,1,10,3, , ,2,0,0,0,0,1,0,0, 
192110,192110.p02,2,1,2,1,4,2,1,192110.v02,,1,0,0,1,1,14,5, , ,2,0,0,0,0,1,0,0, 
192108,192108.p03,3,4,1,4,1,2,1,192108.v01,,2,0,0, , , , ,1,2,1,0,0,0,0,1,0,0, 
192108,192108.p04,4,3,1,1,4,8,1,192108.v04,,1,0,0,1,1,10,5, , ,1,0,0,0,0,1,0,0, 
192113,192113.p01,1,8,1,4,4,4,1,192113.v01,,2,0,0, , , , , , ,2,0,0,0,0,1,0,0, 
192114,192114.p04,4,2,2,4,1,6,1,192114.v03,,1,0,0, , , , ,1,30,2,0,1,0,0,0,0,0, 
192119,192119.p01,1,8,1,1,4,4,1,192119.v02,,1,0,0,1,1,12,5, , ,1,0,0,0,0,0,1,0,Castilian
192122,192122.p01,1,8,1,4,4,8,1,192122.v01,,2,0,1, , , , , , ,2,0,0,0,0,1,0,0, 
192124,192124.p02,2,1,1,4,4,8,1,192124.v01,,2,0,0, , , , , , ,2,0,0,0,0,1,0,0, 
192126,192126.p02,2,1,1,5,4,2,1,192126.v02,,1,0,0,3, , , , , ,1,0,0,0,0,0,1,0,hispanic
192130,192130.p01,1,8,1,4,4,4,1,192130.v01,,1,0,0, , , , , , ,2,0,0,0,0,1,0,0, 
192128,192128.p01,1,8,2,4,1,4,1,192128.v03,,3,2,0, , , , ,4,0.2,2,0,1,0,0,0,0,0, 
192131,192131.p02,2,2,1,1,3,4,1,192131.v01,,1,0,0,1,1,30,5, , ,1,0,0,0,0,0,0,1, 
192134,192134.p01,1,8,2,2,4,6,1,192134.v01,,1,0,0,2,1,5,1, , ,2,0,0,0,0,1,0,0, 
192133,192133.p01,1,8,2,4,4,6,1,192133.v01,,2,6,0, , , , , , ,2,0,1,0,0,0,0,0, 
